vol_quantile,selloff_threshold,high_vol_weeks,hybrid_sharpe,min_var_sharpe,sharpe_gain,hybrid_beats_minvar,hybrid_cvar99
0.65,-0.04,112,1.4109,1.2087,0.2022,True,0.0141
0.65,-0.05,124,1.3631,1.2087,0.1544,True,0.0141
0.65,-0.06,135,1.2014,1.2087,-0.0072,False,0.0178
0.7,-0.04,92,1.4383,1.2087,0.2297,True,0.0131
0.7,-0.05,104,1.3875,1.2087,0.1788,True,0.0131
0.7,-0.06,113,1.1913,1.2087,-0.0174,False,0.0167
0.75,-0.04,70,1.3697,1.2087,0.161,True,0.0131
0.75,-0.05,80,1.3156,1.2087,0.107,True,0.0131
0.75,-0.06,88,1.1226,1.2087,-0.0861,False,0.0167
0.8,-0.04,57,1.4335,1.2087,0.2248,True,0.0129
0.8,-0.05,65,1.3772,1.2087,0.1685,True,0.0129
0.8,-0.06,73,1.1748,1.2087,-0.0338,False,0.0165
0.85,-0.04,37,1.2663,1.2087,0.0576,True,0.0129
0.85,-0.05,44,1.2105,1.2087,0.0018,True,0.0129
0.85,-0.06,51,1.0254,1.2087,-0.1833,False,0.0165
