variant,constrained,lagrange_lr,seed,sharpe,cvar_95,cvar_99,max_drawdown,breach_rate,final_lam,avg_turnover
buggy,True,0.001,7,0.9877769369717176,0.012893221717190035,0.027076113970492855,0.0732260010821636,0.07906976744186046,0.022270472054623052,0.023973103503067722
buggy,True,0.001,13,0.9863299282661117,0.011876689921996147,0.02440893396215621,0.06549119456889518,0.07906976744186046,0.019838728353396094,0.023900364603411675
buggy,True,0.001,23,1.0272703267512477,0.011491993809539872,0.022412993425192308,0.058100508418411634,0.07906976744186046,0.02167686363617332,0.024032534934880466
buggy,True,0.001,42,0.9497243276498898,0.013408536463791471,0.028047433146124887,0.0755238580962434,0.07906976744186046,0.022703802555374807,0.02431212618867601
buggy,True,0.001,2025,0.9826855990768882,0.012096181271638593,0.024893242251039577,0.06666838590882496,0.07906976744186046,0.02118599431454389,0.02390513872081307
fixed,True,5.0,7,0.8975453032010996,0.01663370880904307,0.025063545370350656,0.10465817867188776,0.7302325581395349,0.2595572533831009,0.03867487588178665
fixed,True,5.0,13,0.9309338266902745,0.01842333507122308,0.03246031155278769,0.10793842083581062,0.7953488372093023,0.12699870998039844,0.03869071786752655
fixed,True,5.0,23,0.9601865060192128,0.015097892751826917,0.021626589294638413,0.08828473265966108,0.7209302325581395,0.05818937957286835,0.03862936020453845
fixed,True,5.0,42,0.9242803307752115,0.017522174211065885,0.03004088121004897,0.10503297782630672,0.7302325581395349,0.003771879654378075,0.03908781436178405
fixed,True,5.0,2025,0.8438023558284222,0.018386425671083843,0.03117817970598156,0.1168910602312655,0.7767441860465116,0.05719661997631248,0.03905884530894682
unconstrained,False,0.0,7,0.6413424862996269,0.03108783748972127,0.058385930274528576,0.19621721013510207,1.0,0.0,0.024487653312473656
unconstrained,False,0.0,13,0.6225338803524448,0.03290339415279491,0.06372715605292585,0.20475162574074013,1.0,0.0,0.024166690544233507
unconstrained,False,0.0,23,0.5163552502640418,0.03352076333179169,0.058947882257433616,0.23552275253297017,1.0,0.0,0.02105361417393815
unconstrained,False,0.0,42,0.7569164165132217,0.03397610033372647,0.07177845043591911,0.187771129747333,1.0,0.0,0.024529332655126624
unconstrained,False,0.0,2025,0.5934887722086273,0.035122444995141465,0.07071356235213982,0.20492387303673099,1.0,0.0,0.022258393823722303
